성별,나이,식사,평균수면시간,평균취침시각,평균기상시각,평균깨는횟수,평균꿈빈도,이름
1,4,3,6,26,8,3,1,A01
1,3,2,6,25,9,4,1,A02
2,3,2,6,25,8,1,1,A03
2,2,2,6,27,9,4,1,A04
1,5,3,6,25,9,1,1,A05
2,4,1,6,26,8,2,1,A06
1,2,3,6,27,10,4,1,A07
1,4,3,7,25,8,2,1,A08
2,3,3,7,26,9,1,1,A09
2,3,2,7,26,9,2,1,A10
2,3,3,7,24,7,1,1,A11
1,3,3,7,26,9,1,1,A12
2,2,2,7,25,8,1,1,A13
2,3,2,7,26,10,3,1,A14
2,2,2,7,24,10,4,1,A15
2,4,2,8,25,10,3,1,A16
2,2,2,8,26,10,2,1,A17
2,3,2,5,24,5,2,2,A18
2,3,2,6,26,9,2,2,A19
2,3,2,6,26,8,4,2,A20
2,2,2,6,26,10,3,2,A21
1,5,3,7,25,9,2,2,A22
2,3,3,7,26,9,2,2,A23
2,2,2,7,25,7,1,2,A24
2,2,2,7,26,10,1,2,A25
1,3,2,8,26,10,3,2,A26
2,2,2,8,25,9,2,2,A27
2,2,2,8,27,10,4,2,A28
1,5,3,5,22,7,3,3,A29
2,2,2,5,27,10,3,3,A30
2,3,2,6,26,8,2,3,A31
1,3,3,6,26,9,2,3,A32
1,2,2,6,27,10,3,3,A33
2,2,2,6,27,10,2,3,A34
1,4,2,7,25,8,2,3,A35
1,4,3,7,24,7,2,3,A36
2,2,2,7,27,10,2,3,A37
2,4,2,7,26,10,2,3,A38
2,2,2,7,25,8,2,3,A39
2,4,2,8,24,8,4,3,A40
1,3,3,6,27,10,4,4,A41
2,2,2,7,25,9,2,4,A42
2,2,2,8,25,10,2,4,A43
2,3,2,6,26,8,3,5,A44
2,3,2,6,26,10,3,5,A45
1,2,2,6,27,9,2,5,A46
2,2,2,7,25,9,3,5,A47
1,2,2,8,27,10,1,5,A48
